country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",14-05-2025 05:00:00,13.204880,79.097889,NH3,5,8,6
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",14-05-2025 05:00:00,13.204880,79.097889,SO2,8,14,10
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",14-05-2025 05:00:00,13.204880,79.097889,CO,26,38,30
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",14-05-2025 05:00:00,13.67,79.35,PM2.5,30,122,74
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",14-05-2025 05:00:00,13.67,79.35,OZONE,16,45,33
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",14-05-2025 05:00:00,13.615387,79.409230,PM10,52,101,76
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",14-05-2025 05:00:00,13.615387,79.409230,NH3,2,4,3
India,Assam,Silchar,"Tarapur, Silchar - PCBA",14-05-2025 05:00:00,24.82827,92.79525,CO,18,36,27
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",14-05-2025 05:00:00,26.987634,94.636574,PM2.5,4,35,17
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",14-05-2025 05:00:00,26.987634,94.636574,NH3,2,3,3
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",14-05-2025 05:00:00,26.146529,87.454184,SO2,21,41,35
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",14-05-2025 05:00:00,26.146529,87.454184,OZONE,9,11,10
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",14-05-2025 05:00:00,27.103358,93.679645,PM10,NA,NA,NA
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",14-05-2025 05:00:00,27.103358,93.679645,OZONE,4,4,4
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",14-05-2025 05:00:00,26.071318,91.87488,PM2.5,27,192,71
India,Assam,Guwahati,"IITG, Guwahati - PCBA",14-05-2025 05:00:00,26.2028636,91.70046436,OZONE,10,83,26
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",14-05-2025 05:00:00,26.181742,91.78063,SO2,20,22,21
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",14-05-2025 05:00:00,26.181742,91.78063,OZONE,1,27,4
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",14-05-2025 05:00:00,26.446912,91.439057,NO2,1,7,3
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",14-05-2025 05:00:00,26.446912,91.439057,CO,10,50,28
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",14-05-2025 05:00:00,26.446912,91.439057,OZONE,12,18,14
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",14-05-2025 05:00:00,16.536107,80.594233,NH3,3,5,4
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",14-05-2025 05:00:00,16.536107,80.594233,OZONE,18,46,24
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",14-05-2025 05:00:00,16.486692,80.699436,PM10,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",14-05-2025 05:00:00,16.554731,80.649110,OZONE,19,91,21
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",14-05-2025 05:00:00,26.80365,84.51954,PM2.5,NA,NA,NA
