country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",13-05-2025 23:00:00,14.675886,77.593027,SO2,13,15,14
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",13-05-2025 23:00:00,14.675886,77.593027,OZONE,8,32,24
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",13-05-2025 23:00:00,13.204880,79.097889,NO2,16,26,23
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",13-05-2025 23:00:00,14.465052,78.824187,PM10,32,124,50
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",13-05-2025 23:00:00,14.465052,78.824187,NO2,10,16,12
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",13-05-2025 23:00:00,16.9872867,81.7363176,NH3,6,16,9
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",13-05-2025 23:00:00,13.67,79.35,NH3,1,2,1
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",13-05-2025 23:00:00,13.67,79.35,SO2,6,16,10
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",13-05-2025 23:00:00,13.615387,79.409230,NO2,7,15,11
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",13-05-2025 23:00:00,13.615387,79.409230,CO,16,22,18
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",13-05-2025 23:00:00,17.72,83.3,NH3,1,18,3
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",13-05-2025 23:00:00,27.103358,93.679645,SO2,NA,NA,NA
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",13-05-2025 23:00:00,27.103358,93.679645,OZONE,4,4,4
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",13-05-2025 23:00:00,26.071318,91.87488,PM2.5,NA,NA,NA
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",13-05-2025 23:00:00,26.071318,91.87488,OZONE,16,62,35
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",13-05-2025 23:00:00,26.80365,84.51954,PM10,NA,NA,NA
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",13-05-2025 23:00:00,26.80365,84.51954,OZONE,17,29,24
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",13-05-2025 23:00:00,25.251013,86.989001,NH3,1,2,1
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",13-05-2025 23:00:00,25.265194,87.012947,PM2.5,8,233,66
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",13-05-2025 23:00:00,25.204762,85.514960,PM2.5,NA,NA,NA
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",13-05-2025 23:00:00,26.10887,91.589544,PM2.5,27,290,77
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",13-05-2025 23:00:00,26.187500,91.744194,PM2.5,9,44,27
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",13-05-2025 23:00:00,26.187500,91.744194,PM10,11,34,22
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",13-05-2025 23:00:00,26.349082,92.68449,NO2,NA,NA,NA
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",13-05-2025 23:00:00,26.446912,91.439057,PM2.5,15,52,30
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",13-05-2025 23:00:00,16.536107,80.594233,SO2,14,20,16
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",13-05-2025 23:00:00,16.536107,80.594233,CO,26,45,35
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",13-05-2025 23:00:00,16.486692,80.699436,OZONE,42,66,52
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",13-05-2025 23:00:00,16.509717,80.612222,PM10,69,103,80
